testKey,Test
Settings_Header,Settings
Settings_Music,Music
Settings_Sounds,Sounds
Settings_Language,Language
Quit,Exit Game
Quit_Accept0,Really want to quit?
Quest_Awakening0,Wake up
Quest_Door0,Go for a run
Quest_Flower0,Water the flower
Quest_Kitchen0,Cook something
Quest_Computer0,Finish work
Quest_Sleep0,End the day
Day1_Bed0,I don’t want to sleep yet.
Day1_Bed1,It’s too early.
Day2_Bed0,I don’t want to sleep yet.
Day2_Bed1,I haven’t done everything.
Day3_Bed0,I don’t want to sleep yet.
Day3_Bed1,No.
Day4_Bed0,I don’t want to sleep yet.
Day4_Bed1,"I’m tired…
but it’s too early."
Day5_Bed0,I don’t want to sleep yet.
Day5_Bed1,I have to do something.
Day6_Bed0,I don’t want to sleep yet.
Day6_Bed1,"It’s hard, but I need
to at least try..."
Day1_Awakening,"New day.
Let’s begin."
Day2_Awakening,"I feel… off.
Maybe just tired."
Day3_Awakening,"Sleep didn’t help.
I just need to start moving."
Day4_Awakening,Feels like this body isn’t mine.
Day5_Awakening,Everything feels so heavy…
Day1_Sleep,"Wish I could just
get some real sleep."
Day2_Sleep,Can’t get it out of my head.
Day3_Sleep,What if tomorrow’s worse?
Day4_Sleep,"Please,
just make it all stop."
Day1_Door_Win,"Got a bit more energy
after the run."
Day1_Door_Defeat,No time to keep going.
Day2_Door_Win,Still in shape.
Day2_Door_Defeat,"Today was…
rough."
Day3_Door_Win,"It was hard,
but I’m not giving up."
Day3_Door_Defeat,It was hard…
Day4_Door_Win,My heart’s pounding.
Day4_Door_Defeat,I can’t do this anymore…
Day5_Door_Win,Can I still keep going?
Day5_Door_Defeat,"Feels like I’m not
in shape anymore."
Day6_Door0,No. Not today.
Day6_Door1,I can’t do this anymore...
Flower_WateringCup,Need a watering can.
Day1_Flower_Win,"Grow, little flower."
Day1_Flower_Defeat,"It’s okay.
Maybe next time."
Day2_Flower_Win,You’ve got this.
Day2_Flower_Defeat,"Withering’s easier
than I thought."
Day3_Flower_Win,"People say “Stay strong”.
So you hang in there too, huh."
Day3_Flower_Defeat,"“Stay strong”?
What the hell am I supposed
to stay strong for?"
Day4_Flower_Win,We’re alike.
Day4_Flower_Defeat,We’re alike.
Day5_Flower_Win,"Feels like we’re
both falling apart."
Day5_Flower_Defeat,"Feels like we’re
both falling apart."
Day6_Flower_Win,I’m sorry.
Day6_Flower_Defeat,I’m sorry.
Day1_Kitchen_Win,Simple food tastes the best.
Day1_Kitchen_Defeat,Should’ve just ordered delivery.
Day2_Kitchen_Win,Tastes good.
Day2_Kitchen_Defeat,Not really hungry.
Day3_Kitchen_Win,...
Day3_Kitchen_Defeat,Taste’s kind of gone.
Day4_Kitchen_Win,Tastes like laundry detergent.
Day4_Kitchen_Defeat,...
Day5_Kitchen_Win,"I can’t.
I just can’t."
Day5_Kitchen_Defeat,"I can’t.
I just can’t."
Day6_Kitchen_Win,"I don’t feel anything.
Not hunger.
Not taste."
Day6_Kitchen_Defeat,"I don’t feel anything.
Not hunger.
Not taste."
Computer_UI_Letter_Head,From:
Computer_UI_Attempt,Unread messages:
Computer_UI_Delete,Delete
Computer_UI_Accept,Accept
Computer_UI_Final,Work completed
Computer_UI_Correctly,Correct:
Computer_UI_Wrong,Incorrect:
Computer_UI_Button0,Complete
Computer_UI_Button1,What?
Computer_UI_Glitch,"“Test results…”
“…urgent medical consultation recommended.”"
Day1_Computer_Win,Good job.
Day1_Computer_Defeat,...
Day2_Computer_Win,Is this supposed to be a joke?
Day2_Computer_Defeat,I can’t get it out of my head...
Day3_Computer_Win,"Well, I did everything I could."
Day3_Computer_Defeat,I can’t focus.
Day4_Computer_Win,...
Day4_Computer_Defeat,"“Stay strong”?
What does that even mean?!"
Day5_Computer_Win,Every message feels the same.
Day5_Computer_Defeat,The letters are blurring.
Day6_Computer0,"What does it say?
I can’t tell."
Day6_Computer1,It all feels like mockery.
Day6_Computer2,I can’t read this.
Day1_Guitar0,"I remember us singing
in the kitchen, the four of us…"
