testKey,Test
Play,Play
Button_Setting,Settings
Button_Exit,Quit
Settings_Header,Settings
Settings_Music,Music
Settings_Sounds,Sounds
Settings_Language,Language
Quit,Exit Game
Quit_Accept0,Really want to quit?
Help,Help
Help_Hint0,e — interaction
Help_Hint1,q — release/switch
Help_Hint2,tab — quests
GameOver,I tried...
Quest_Awakening0,Wake up
Quest_Door0,Go for a run
Quest_Flower0,Water the flower
Quest_Kitchen0,Cook something
Quest_Computer0,Finish work
Quest_Sleep0,End the day
Day1_Bed0,I don’t want to sleep yet.
Day1_Bed1,It’s too early.
Day2_Bed0,I don’t want to sleep yet.
Day2_Bed1,I haven’t done everything.
Day3_Bed0,I don’t want to sleep yet.
Day3_Bed1,No.
Day4_Bed0,I don’t want to sleep yet.
Day4_Bed1,"I’m tired…
but it’s too early."
Day5_Bed0,I don’t want to sleep yet.
Day5_Bed1,I have to do something.
Day6_Bed0,I don’t want to sleep yet.
Day6_Bed1,"It’s hard, but I need
to at least try..."
Day1_Awakening,"New day.
Let’s begin."
Day2_Awakening,"I feel… off.
Maybe just tired."
Day3_Awakening,"Sleep didn’t help.
I just need to start moving."
Day4_Awakening,Feels like this body isn’t mine.
Day5_Awakening,Everything feels so heavy…
Day6_Awakening,...
Day1_Sleep,"The main thing is not
to forget to pay the bills."
Day2_Sleep,Can’t get it out of my head.
Day3_Sleep,What if tomorrow’s worse?
Day4_Sleep,"Please,
just make it all stop."
Day5_Sleep,...
Day6_Sleep,...
Day1_Door_Win,"Got a bit more energy
after the run."
Day1_Door_Defeat,No time to keep going.
Day2_Door_Win,Still in shape.
Day2_Door_Defeat,"Today was…
rough."
Day3_Door_Win,"It was hard,
but I’m not giving up."
Day3_Door_Defeat,It was hard…
Day4_Door_Win,My heart’s pounding.
Day4_Door_Defeat,I can’t do this anymore…
Day5_Door_Win,Can I still keep going?
Day5_Door_Defeat,"Feels like I’m not
in shape anymore."
Day6_WMGDoor0,No. Not today.
Day6_WMGDoor1,I can’t do this anymore...
Day1_Flower0,I think I put a watering can in the kitchen.
Day2_Flower0,Need a watering can.
Day3_Flower0,Where's the watering can?
Day4_Flower0,Watering can in the kitchen.
Day5_Flower0,Need a watering can.
Day6_Flower0,Should I try watering it?
Day1_Flower_Win,"Grow, little flower."
Day1_Flower_Defeat,"It’s okay.
Maybe next time."
Day2_Flower_Win,You’ve got this.
Day2_Flower_Defeat,"Withering’s easier
than I thought."
Day3_Flower_Win,"People say “Stay strong”.
So you hang in there too, huh."
Day3_Flower_Defeat,"“Stay strong”?
What the hell am I supposed
to stay strong for?"
Day4_Flower_Win,We’re alike.
Day4_Flower_Defeat,We’re alike.
Day5_Flower_Win,"Feels like we’re
both falling apart."
Day5_Flower_Defeat,"Feels like we’re
both falling apart."
Day6_Flower_Win,I’m sorry.
Day6_Flower_Defeat,I’m sorry.
Day1_Kitchen_Win,Simple food tastes the best.
Day1_Kitchen_Defeat,Should’ve just ordered delivery.
Day2_Kitchen_Win,Tastes good.
Day2_Kitchen_Defeat,Not really hungry.
Day3_Kitchen_Win,...
Day3_Kitchen_Defeat,Taste’s kind of gone.
Day4_Kitchen_Win,Tastes like laundry detergent.
Day4_Kitchen_Defeat,...
Day5_WMGKitchen0,"I can’t.
I just can’t."
Day5_WMGKitchen1,"I can’t.
I just can’t."
Day6_WMGKitchen0,"I don’t feel anything.
Not hunger.
Not taste."
Day6_WMGKitchen1,"I don’t feel anything.
Not hunger.
Not taste."
Computer_UI_Letter_Head,From:
Computer_UI_Attempt,Unread messages:
Computer_UI_Delete,Delete
Computer_UI_Accept,Accept
Computer_UI_Final,Work completed
Computer_UI_Correctly,Correct:
Computer_UI_Wrong,Incorrect:
Computer_UI_Button0,Complete
Computer_UI_Button1,What?
Computer_UI_Glitch,"“Test results…”
“…urgent medical consultation recommended.”"
Day1_Computer_Win,Good job.
Day1_Computer_Defeat,...
Day2_Computer_Win,Is this supposed to be a joke?
Day2_Computer_Defeat,I can’t get it out of my head...
Day3_Computer_Win,"Well, I did everything I could."
Day3_Computer_Defeat,I can’t focus.
Day4_Computer_Win,...
Day4_Computer_Defeat,"“Stay strong”?
What does that even mean?!"
Day5_Computer_Win,Every message feels the same.
Day5_Computer_Defeat,The letters are blurring.
Day6_WMGComputer0,"What does it say?
I can’t tell."
Day6_WMGComputer1,It all feels like mockery.
Day6_WMGComputer2,I can’t read this.
Day1_Guitar0,"I remember us singing
in the kitchen, the four of us…"
Day1_Guitar1,"We even talked about
playing on a stage someday..."
Day1_Guitar2,"Haven’t played in a while.
Should probably tune it sometime."
Day2_Guitar0,"We used to drag it to the lake:
campfire, wet sand,
strings smelling of smoke..."
Day2_Guitar1,"Now it’s just deadlines
and doctor’s visits.
The fires live in photos."
Day2_Guitar2,Someday I’ll hold you again.
Day3_Guitar0,"I can’t even remember
where A minor goes."
Day3_Guitar1,"My fingers shake,
and my head’s full
of test results."
Day3_Guitar2,"The guitar’s in the corner.
I’m not touching it.
Not now."
Day4_Guitar0,"String snapped.
Symbolic."
Day4_Guitar1,"Don’t even want to replace it.
Let it stay off."
Day4_Guitar2,"The strings ring too loud.
It’s irritating."
Day5_Guitar0,"I want it to sound again.
But I can’t."
Day5_Guitar1,"It’s dusty.
Feels like it’s not mine anymore."
Day5_Guitar2,"The guitar doesn’t recognize me.
And I don’t recognize it."
Day6_Guitar0,"Noise in my head
drowns everything."
Day6_Guitar1,"Too heavy.
Even my eyes slide past it."
Day6_Guitar2,I don’t have the strength.
